Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 44h/semana
Private         | Some-college    | 43h/semana
Private         | Some-college    | 42h/semana
Private         | HS-grad         | 43h/semana
Private         | Masters         | 44h/semana
Private         | Prof-school     | 70h/semana
Private         | 11th            | 70h/semana
Private         | Bachelors       | 60h/semana
Private         | Prof-school     | 60h/semana
Private         | 11th            | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | 11th            | 60h/semana
Private         | HS-grad         | 60h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 65h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 50h/semana
Private         | 10th            | 42h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 58h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-acdm      | 42h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 65h/semana
Private         | 11th            | 43h/semana
Private         | HS-grad         | 41h/semana
Private         | Some-college    | 48h/semana
Private         | Masters         | 60h/semana
Private         | HS-grad         | 42h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Masters         | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 50h/semana
Private         | Masters         | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 43h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 60h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Prof-school     | 60h/semana
Private         | 11th            | 45h/semana
Private         | HS-grad         | 48h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | Prof-school     | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 43h/semana
Private         | Assoc-voc       | 48h/semana
Private         | Some-college    | 57h/semana
Private         | 5th-6th         | 50h/semana
Private         | HS-grad         | 65h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-acdm      | 80h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 45h/semana
Private         | 11th            | 42h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | Masters         | 72h/semana
Private         | Bachelors       | 45h/semana
Private         | Doctorate       | 45h/semana
Private         | Some-college    | 62h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 42h/semana
Private         | Masters         | 55h/semana
Private         | Some-college    | 45h/semana
Private         | Masters         | 75h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-voc       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 43h/semana
Private         | Assoc-voc       | 50h/semana
Private         | 11th            | 43h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | Bachelors       | 90h/semana
Private         | HS-grad         | 52h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | 10th            | 45h/semana
Private         | HS-grad         | 44h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 41h/semana
Private         | HS-grad         | 50h/semana
Private         | 10th            | 55h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 70h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 53h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 47h/semana
Private         | Some-college    | 50h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | HS-grad         | 44h/semana
Private         | Masters         | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 46h/semana
Private         | Some-college    | 44h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 42h/semana
Private         | Bachelors       | 70h/semana
Private         | HS-grad         | 42h/semana
Private         | Masters         | 60h/semana
Private         | Prof-school     | 80h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 70h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 52h/semana
Private         | Some-college    | 50h/semana
Private         | 11th            | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | Masters         | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Doctorate       | 55h/semana
Private         | Bachelors       | 48h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | 9th             | 48h/semana
